rank,domain,title,has_iso_27001,has_soc_2,has_csa_star,total_claimed_attestations,attestation_audit_status,pages_inspected,attestation_evidence,score_tls_transport,score_dns_email,score_http_headers,score_pki_cert,d_vpf_technical_score,dmarc_policy,hsts_present,csp_present,tls_validation_status,cert_lifespan_days,cert_max_allowed_days,key_type,key_bits,http_probe_status,dns_probe_status
358,opendns.com,Cloud Delivered Enterprise Security by OpenDNS,0,0,0,0,observed,https://www.opendns.com:443/;https://www.opendns.com:443/home-internet-security/;https://www.opendns.com:443/privacy-policy/,,20,10,10,25,65,None,True,False,verified,89,200,RSA,2048,observed,observed
383,ip-api.com,IP-API.com - Geolocation API,0,0,0,0,observed,https://ip-api.com/;https://ip-api.com/;https://ip-api.com/;https://ip-api.com/;https://ip-api.com/;https://ip-api.com/;https://ip-api.com/;https://ip-api.com/;https://ip-api.com/;https://ip-api.com/,,10,5,0,25,40,None,False,False,verified,396,398,RSA,2048,observed,observed
387,plesk.com,Web Hosting & Server Management Platform | Plesk,0,0,0,0,observed,https://www.plesk.com/;https://www.plesk.com/,,18,5,20,25,68,None,True,True,verified,90,200,EC-secp256r1,256,observed,observed
388,newrelic.com,AI-powered Observability,0,0,0,0,observed,https://newrelic.com/;https://trust.newrelic.com/;https://newrelic.com/platform/security-rx;https://trust.newrelic.com/,,20,5,15,25,65,None,True,True,verified,364,398,RSA,2048,observed,observed
391,paloaltonetworks.com,Leader in Cybersecurity Protection & Software for the Modern Enterprises - Palo Alto Networks,1,1,0,2,observed,https://www.paloaltonetworks.com;https://trust.paloaltonetworks.com/;https://security.paloaltonetworks.com/,https://trust.paloaltonetworks.com/,18,5,20,25,68,None,True,True,verified,198,200,RSA,2048,observed,observed
406,ipify.org,ipify - A Simple Public IP Address API,0,0,0,0,observed,https://www.ipify.org/,,15,5,0,25,45,None,False,False,verified,90,200,EC-secp256r1,256,observed,observed
451,ipinfo.io,IP Data Intelligence for Developers & Enterprises | IPinfo,0,0,0,0,observed,https://ipinfo.io/;https://ipinfo.io/data/proxy-vpn-detection,,15,5,15,25,60,None,False,False,verified,89,200,RSA,2048,observed,observed
496,atlassian.net,Products | Atlassian,0,0,0,0,observed,https://www.atlassian.com/software;https://www.atlassian.com/software;https://www.atlassian.com/software;https://www.atlassian.com/software;https://www.atlassian.com/software;https://www.atlassian.com/software;https://www.atlassian.com/software;https://www.atlassian.com/software;https://www.atlassian.com/software;https://id.atlassian.com/login;https://id.atlassian.com/login;https://www.atlassian.com/software,,18,10,20,25,73,None,True,True,verified,197,200,RSA,2048,observed,observed
500,dynatrace.com,Dynatrace | Observability built for the age of AI,1,1,0,2,observed,https://www.dynatrace.com/;https://www.dynatrace.com/company/trust-center/security/;https://www.dynatrace.com/platform/application-security/;https://trust.dynatrace.com/;https://security.dynatrace.com/,https://trust.dynatrace.com/,20,5,25,25,75,None,True,True,verified,197,200,RSA,2048,observed,observed
529,trendmicro.com,Trend Micro (US) | Global Enterprise AI Cybersecurity Platform,1,1,1,3,observed,https://www.trendmicro.com/en_us/business.html;https://www.trendmicro.com/en_us/forHome/products.html;https://www.trendmicro.com/en_us/about/trust-center/compliance.html;https://www.trendmicro.com/en_us/forHome.html;https://www.trendmicro.com/en_us/business/services/support-services/education.html;https://www.trendmicro.com/en_us/what-is.html;https://www.trendmicro.com/en_us/what-is.html,https://www.trendmicro.com/en_us/about/trust-center/compliance.html,15,10,15,25,65,None,False,True,verified,198,200,EC-secp256r1,256,observed,observed
